wordcat,average_frequency_1,average_frequency_2,average_frequency_3,average_frequency_4,average_frequency_5,average_frequency_6,average_frequency_7,average_frequency_8,average_frequency_9,average_frequency_10,average_frequency_11,average_frequency_12,average_frequency_13,average_frequency_14,average_frequency_15,average_frequency_16,average_frequency_17,average_frequency_18,average_frequency_19,average_frequency_20,average_frequency_21,average_frequency_22,average_frequency_23,average_frequency_24,average_frequency_25
AJ,24.0,17.666666666666668,20.333333333333332,29.333333333333332,14.666666666666666,22.333333333333332,24.0,20.666666666666668,18.333333333333332,3.0,21.666666666666668,27.333333333333332,12.666666666666666,22.666666666666668,23.0,28.0,13.666666666666666,25.333333333333332,25.666666666666668,23.666666666666668,17.0,16.333333333333332,32.333333333333336,27.0,29.666666666666668
N,22.666666666666668,20.333333333333332,23.0,29.333333333333332,14.0,17.0,26.333333333333332,19.333333333333332,18.0,7.0,25.0,23.333333333333332,14.333333333333334,24.333333333333332,20.333333333333332,23.666666666666668,18.333333333333332,23.666666666666668,34.333333333333336,27.0,29.0,17.666666666666668,29.666666666666668,25.666666666666668,28.333333333333332
V,14.666666666666666,14.333333333333334,19.0,19.666666666666668,8.333333333333334,9.666666666666666,22.0,20.333333333333332,18.0,13.333333333333334,20.666666666666668,11.666666666666666,4.0,19.666666666666668,20.0,19.0,19.0,20.666666666666668,26.666666666666668,24.666666666666668,30.333333333333332,10.666666666666666,23.666666666666668,26.0,24.333333333333332
AV,4.666666666666667,5.333333333333333,8.666666666666666,9.0,5.0,4.333333333333333,8.666666666666666,8.333333333333334,9.0,6.666666666666667,5.0,7.0,5.0,8.333333333333334,6.666666666666667,6.0,7.0,7.666666666666667,9.666666666666666,10.333333333333334,10.0,2.3333333333333335,7.666666666666667,9.666666666666666,6.0
PR,2.3333333333333335,3.6666666666666665,7.0,6.333333333333333,11.666666666666666,0.6666666666666666,5.666666666666667,10.666666666666666,9.666666666666666,35.666666666666664,2.0,2.3333333333333335,18.0,4.0,8.0,4.0,4.0,4.0,4.333333333333333,9.666666666666666,8.666666666666666,0.6666666666666666,8.333333333333334,5.0,6.333333333333333
CJ,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,9.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
AT,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
PN,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
OR,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333
DT,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
TO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
