word_1,wordcat_1,context_1,word_2,wordcat_2,context_2,word_3,wordcat_3,context_3,word_4,wordcat_4,context_4,word_5,wordcat_5,context_5,word_6,wordcat_6,context_6,word_7,wordcat_7,context_7,word_8,wordcat_8,context_8,word_9,wordcat_9,context_9,word_10,wordcat_10,context_10,word_11,wordcat_11,context_11,word_12,wordcat_12,context_12,word_13,wordcat_13,context_13,word_14,wordcat_14,context_14,word_15,wordcat_15,context_15,word_16,wordcat_16,context_16,word_17,wordcat_17,context_17,word_18,wordcat_18,context_18,word_19,wordcat_19,context_19,word_20,wordcat_20,context_20,word_21,wordcat_21,context_21,word_22,wordcat_22,context_22,word_23,wordcat_23,context_23,word_24,wordcat_24,context_24,word_25,wordcat_25,context_25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And,CJ,And there is always the ultimate unbundler defence that he will make money for his backers,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,always,AV,And there is always the ultimate unbundler defence that he will make money for his backers
,,,,,,ultimate,AJ,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,,ultimate,AJ,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,ultimate,AJ,And there is always the ultimate unbundler defence that he will make money for his backers,,,,ultimate,AJ,And there is always the ultimate unbundler defence that he will make money for his backers,ultimate,AJ,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,,ultimate,AJ,And there is always the ultimate unbundler defence that he will make money for his backers,ultimate,AJ,And there is always the ultimate unbundler defence that he will make money for his backers
,,,,,,,,,,,,,,,,,,unbundler,N,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unbundler,N,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,,,,,,,
,,,,,,money,N,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,,,,,,,,money,N,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,,,,,,,,,,,,,,money,N,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,,,,,money,N,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow,AJ,Then they formed a slow procession behind the coffin into the mountains to the old royal capital of Cetinje for his reburial in the monastery there,,,,,,,,,,,,,slow,AJ,Then they formed a slow procession behind the coffin into the mountains to the old royal capital of Cetinje for his reburial in the monastery there,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,procession,N,Then they formed a slow procession behind the coffin into the mountains to the old royal capital of Cetinje for his reburial in the monastery there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,abstraction,N,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,,,,abstraction,N,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,,,,,,,,,,,,,abstraction,N,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,,,,abstraction,N,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music,N,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ideal,AJ,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject
,,,,,,,,,,,,,,,combination,N,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well-established,AJ,In some cases Labour quangos merge existing ones or replace well-established bodies,,,,,,,,,,,,,,,,,,,,,,,,,well-established,AJ,In some cases Labour quangos merge existing ones or replace well-established bodies,,,
,,,,,,,,,,,,,,,,,,,,,success,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,,,,,success,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,,,,,success,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,success,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,,,,,,,,,,,,,,,,,,,
,,,working,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,,,,,,,,,,,,,,working,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,working,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage
,,,,,,relationship,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,,relationship,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,relationship,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relationship,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,relationship,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,,relationship,N,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,
