word_1,wordcat_1,context_1,word_2,wordcat_2,context_2,word_3,wordcat_3,context_3,word_4,wordcat_4,context_4,word_5,wordcat_5,context_5,word_6,wordcat_6,context_6,word_7,wordcat_7,context_7,word_8,wordcat_8,context_8,word_9,wordcat_9,context_9,word_10,wordcat_10,context_10,word_11,wordcat_11,context_11,word_12,wordcat_12,context_12,word_13,wordcat_13,context_13,word_14,wordcat_14,context_14,word_15,wordcat_15,context_15,word_16,wordcat_16,context_16,word_17,wordcat_17,context_17,word_18,wordcat_18,context_18,word_19,wordcat_19,context_19,word_20,wordcat_20,context_20,word_21,wordcat_21,context_21,word_22,wordcat_22,context_22,word_23,wordcat_23,context_23,word_24,wordcat_24,context_24,word_25,wordcat_25,context_25
,,,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,,,,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,defence,N,And there is always the ultimate unbundler defence that he will make money for his backers
,,,,,,,,,,,,,,,,,,,,,,,,,,,make,V,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,,,,,make,V,And there is always the ultimate unbundler defence that he will make money for his backers,,,,make,V,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,make,V,And there is always the ultimate unbundler defence that he will make money for his backers,make,V,And there is always the ultimate unbundler defence that he will make money for his backers,make,V,And there is always the ultimate unbundler defence that he will make money for his backers,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transferred,V,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,transferred,V,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,transferred,V,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,transferred,V,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immediate,AJ,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,,,,,,,,,,immediate,AJ,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,,,,immediate,AJ,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject
,,,,,,,,,,,,,,,,,,,,,response,N,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,response,N,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subject,N,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,merge,V,In some cases Labour quangos merge existing ones or replace well-established bodies,,,,,,,,,,merge,V,In some cases Labour quangos merge existing ones or replace well-established bodies,,,,merge,V,In some cases Labour quangos merge existing ones or replace well-established bodies,merge,V,In some cases Labour quangos merge existing ones or replace well-established bodies,,,,merge,V,In some cases Labour quangos merge existing ones or replace well-established bodies
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replace,V,In some cases Labour quangos merge existing ones or replace well-established bodies,replace,V,In some cases Labour quangos merge existing ones or replace well-established bodies,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bodies,N,In some cases Labour quangos merge existing ones or replace well-established bodies,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long,AJ,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,,,,
happy,AJ,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,happy,AJ,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage,,,,,,,happy,AJ,The success of the Ahlbergs working relationship must have a lot to do with their long and happy marriage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see,V,They see themselves not as author and illustrator with separate roles but as a partnership of book-makers contributing equally to the process,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,separate,AJ,They see themselves not as author and illustrator with separate roles but as a partnership of book-makers contributing equally to the process,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roles,N,They see themselves not as author and illustrator with separate roles but as a partnership of book-makers contributing equally to the process,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holding,V,By holding open meetings for children and having the telecottage above the local store people of all walks of life came+in small-scale entrepreneurs and their spouses shop+assistants craftspeople and children,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,AJ,By holding open meetings for children and having the telecottage above the local store people of all walks of life came+in small-scale entrepreneurs and their spouses shop+assistants craftspeople and children,,,,,,,,,
