,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
V,25.0,18.0,29.0,36.0,37.0,21.0,31.0,53.0,18.0,15.0,24.0,25.0,56.0,23.0,30.0,21.0,42.0,57.0,38.0,35.0,52.0,24.0,52.0,33.0,54.0
N,22.0,19.0,22.0,29.0,17.0,18.0,29.0,20.0,11.0,5.0,28.0,27.0,24.0,23.0,26.0,19.0,30.0,37.0,41.0,29.0,34.0,27.0,33.0,34.0,16.0
AJ,20.0,7.0,11.0,13.0,9.0,13.0,18.0,14.0,9.0,7.0,12.0,12.0,12.0,17.0,18.0,14.0,19.0,26.0,25.0,15.0,16.0,24.0,27.0,26.0,19.0
AV,6.0,5.0,9.0,6.0,4.0,3.0,8.0,3.0,7.0,5.0,6.0,12.0,9.0,7.0,6.0,7.0,11.0,13.0,8.0,7.0,11.0,6.0,12.0,8.0,12.0
PR,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,5.0,6.0,2.0,3.0,6.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0
CJ,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0
PN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
CR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
