,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
N,20.0,19.0,25.0,36.0,14.0,16.0,22.0,24.0,23.0,7.0,30.0,22.0,19.0,21.0,17.0,23.0,17.0,22.0,32.0,27.0,27.0,18.0,30.0,25.0,27.0
AJ,17.0,16.0,21.0,32.0,11.0,19.0,29.0,21.0,14.0,3.0,23.0,28.0,17.0,23.0,21.0,25.0,11.0,22.0,29.0,25.0,14.0,19.0,32.0,30.0,27.0
V,12.0,15.0,21.0,17.0,8.0,9.0,28.0,18.0,13.0,7.0,22.0,13.0,6.0,22.0,20.0,22.0,23.0,21.0,26.0,24.0,35.0,10.0,22.0,22.0,23.0
AV,5.0,4.0,8.0,10.0,5.0,5.0,11.0,7.0,5.0,6.0,5.0,8.0,2.0,9.0,5.0,7.0,8.0,7.0,7.0,15.0,10.0,3.0,9.0,14.0,4.0
OR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
DT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR,1.0,2.0,7.0,5.0,14.0,1.0,4.0,10.0,6.0,46.0,2.0,3.0,22.0,4.0,6.0,3.0,5.0,6.0,3.0,6.0,6.0,1.0,10.0,4.0,7.0
AT,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
