docid,senid,word,conv,sentence
1,1_1,Inflation,1,Inflation has reached the North Pole as a Santa shortage looms
1,1_1,has,0,Inflation has reached the North Pole as a Santa shortage looms
1,1_1,reached,1,Inflation has reached the North Pole as a Santa shortage looms
1,1_1,the,0,Inflation has reached the North Pole as a Santa shortage looms
1,1_1,North,0,Inflation has reached the North Pole as a Santa shortage looms
1,1_1,Pole,0,Inflation has reached the North Pole as a Santa shortage looms
1,1_1,as,0,Inflation has reached the North Pole as a Santa shortage looms
1,1_1,a,0,Inflation has reached the North Pole as a Santa shortage looms
1,1_1,Santa,0,Inflation has reached the North Pole as a Santa shortage looms
1,1_1,shortage,0,Inflation has reached the North Pole as a Santa shortage looms
1,1_1,looms,1,Inflation has reached the North Pole as a Santa shortage looms
1,1_2,Over,1,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,the,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,last,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,year,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,as,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,vaccines,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,and,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,COVID,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,treatments,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,have,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,become,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,more,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,available,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,and,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,society,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,has,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,gotten,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,closer,1,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,to,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,normal,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,both,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,Hire,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,Santa,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,and,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,the,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,International,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,Brotherhood,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,of,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,Real-Bearded,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,Santas,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,have,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,worked,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,to,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,rebuild,1,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,the,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,Santa,0,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_2,workforce,1,Over the last year as vaccines and COVID treatments have become more available and society has gotten closer to normal both Hire Santa and the International Brotherhood of Real-Bearded Santas have worked to rebuild the Santa workforce
1,1_3,We,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
1,1_3,here,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
1,1_3,at,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
1,1_3,Hire,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
1,1_3,Santa,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
1,1_3,have,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
1,1_3,been,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
1,1_3,working,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
1,1_3,very,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
1,1_3,hard,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
1,1_3,to,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
1,1_3,replenish,0,We here at Hire Santa have been working very hard to replenish the number of Santas Allen says
