sentence_id,context,DEL,split,examples,10_fold
a1e-fragment01_1,Latest corporate unbundler reveals laid-back approach Roland Franklin who is leading a 697m pound break-up bid for DRG talks to Frank Kane,FALSE,test,,
a1e-fragment01_2,By FRANK KANE,FALSE,test,,
a1e-fragment01_3,IT SEEMS that Roland Franklin the latest unbundler to appear in the UK has made a fatal error in the preparation of his £697m break-up bid for stationery and packaging group DRG,FALSE,train,,6
a1e-fragment01_4,He has not properly investigated the target dining facilities,FALSE,test,,
a1e-fragment01_5,The 63-year-old head of Pembridge Investments through which the bid is being mounted says rule number one in this business is the more luxurious the luncheon rooms at headquarters the more inefficient the business,FALSE,test,,
a1e-fragment01_6,If he had taken his own rule seriously he would have found+out that DRG has a very modest self-service canteen at its Bristol head office,FALSE,train,,9
a1e-fragment01_7,There are other things he has on his own admission not fully investigated like the value of the DRG properties or which part of the DRG business he would keep after the break+up,FALSE,test,,
a1e-fragment01_8,When the bid was launched last week Mr Franklin faced some criticism from City commentators on both those counts,FALSE,test,,
a1e-fragment01_9,He regards the charges as unfounded,FALSE,test,,
a1e-fragment01_10,On property he is blunt,FALSE,test,,
a1e-fragment01_11,I do not regard property profits as earnings,FALSE,test,,
a1e-fragment01_12,We have made a bid of nearly £700m for a company with a book+value of £200m we 've acknowledged there is some extra worth there but I can not see the sort of value they are talking about in property,FALSE,test,,
a1e-fragment01_13,If they can prove it is there we might pay for it,FALSE,test,,
a1e-fragment01_14,On the other criticism he is equally dismissive,FALSE,test,,
a1e-fragment01_15,That point about the core business is very unfair he says,FALSE,train,,6
a1e-fragment01_16,It is difficult to decide when you are an outsider what the business is like,FALSE,test,,
a1e-fragment01_17,We would eventually like to do it along+with the management within the philosophy we will impose,FALSE,test,,
a1e-fragment01_18,The Franklin philosophy was learnt in the US leveraged buyout business at the side of Sir James Goldsmith,FALSE,test,,
a1e-fragment01_19,Mr Franklin went there at the end of the 1970s after the collapse of Keyser Ullman the merchant bank where he was a director that was rescued by the Bank of England,FALSE,test,,
a1e-fragment01_20,He feels that Keyser problems were hastened by an unwise acquisition,FALSE,test,,
a1e-fragment01_21,He went to the US because Goldsmith decided that if you wanted to be a capitalist the UK and France were not the places to be,FALSE,test,,
a1e-fragment01_22,Along+with Sir James he found the US much more attractive taking+over and breaking+up some fairly hefty US corporations,FALSE,test,,
a1e-fragment01_23,He rejects charges that he was partly responsible for the casino atmosphere that gripped US corporate life in the early 1980s,TRUE,test,,
a1e-fragment01_24,We stirred+up it yes but we never lost any money for anybody and we never added to the unemployment figures,FALSE,test,,
a1e-fragment01_25,What he has learned from Goldsmith the only genius I have ever come across is that the holding company is not the most important unit of corporate organisation,FALSE,test,,
a1e-fragment01_26,The concept of the company does not interest me it 's the businesses that are important,FALSE,test,,
a1e-fragment01_27,It does not matter whether+or+not DRG makes sellotape or Basildon Bond it 's of no consequence to anybody if somebody else makes them,FALSE,train,,8
a1e-fragment01_28,And there is always the ultimate unbundler defence that he will make money for his backers,FALSE,train,,1
a1e-fragment01_29,In a takeover campaign that has already seen vitriolic language he responds to the charge that he is mounting the bid to enrich himself and his friends by saying Nobody could take that as a criticism this is an investor group,FALSE,test,,
a1e-fragment01_1,It would be a criticism if I was doing it to impoverish myself,FALSE,test,,
a1f-fragment06_2,Letter Policy and politics at the Labour+Party Conference,FALSE,train,,4
a1f-fragment06_3,From MR DAVID SOSKIN,FALSE,test,,
a1f-fragment06_4,Sir I was interested by your juxtaposition of Poll predicts 42-seat majority for Labour with Tories hold+on 30 September the latter referring of+course to the Conservative victory in Wandsworth the significance of which appears to have been almost totally ignored by the media,FALSE,test,,
a1f-fragment06_1,Electors are always prepared to criticise the Government in+answer+to pollsters questions but when the same individuals arrive at the polling+booth they simply can not bring themselves to vote Labour into power,FALSE,test,,
a1f-fragment07_3,From MS MOLLY MEACHER,FALSE,test,,
a1f-fragment07_4,Sir Despite a significant gap in the Labour+Party education and training proposals their objective to double the number of 16-18year-olds in full-time education must be welcomed 28 September,FALSE,test,,
a1f-fragment07_5,England full-time staying-on rate stands at 28 per+cent according+to the latest statistics available,FALSE,test,,
a1f-fragment07_6,This compares with 79 per+cent in the US 86 per+cent in Sweden 45 per+cent in West Germany and 69 per+cent in Japan,FALSE,test,,
a1f-fragment07_7,To add the part-time education and training statistics to those figures does not improve our relative position,FALSE,train,,6
a1f-fragment07_8,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses two years in a Further Education college followed by two with an employer for the rest,FALSE,test,,
a1f-fragment07_9,These reforms will only achieve their objective if accompanied by the implementation of the 1944 Education Act provision for compulsory part- or full-time education or training up+to the age of 18,FALSE,test,,
a1f-fragment07_10,This clause has never yet been activated,TRUE,test,,
a1f-fragment07_11,The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age group to entice young people away+from education and into unskilled or semi-skilled jobs,FALSE,test,,
a1f-fragment07_12,Employers must be required to release 16-18-year-olds for education and training for at+least two days per week,FALSE,test,,
a1f-fragment07_1,Only then will two vitally important and complementary goals be achieved to improve Britain general educational and vocational competence and hence our productive capacity and to reduce our gross educational inequalities between the elite who receive a narrow education to a very high standard and the rest,FALSE,test,,
a1f-fragment08_3,From MR JOHN PERTWEE,FALSE,test,,
a1f-fragment08_4,Sir Labour does not need a commitment to proportional representation in+order to scoop most of the centre ground at the next general election,FALSE,test,,
a1f-fragment08_5,All it needs is to promise a high-powered investigation such+as a Royal Commission into the practicalities of an alternative voting system surely justified by the intense public interest now abounding,FALSE,test,,
a1f-fragment08_6,Such a promise would be the only hope of a breakthrough for the disenfranchised voters and would have them flocking to the polls for Mr Kinnock,FALSE,test,,
a1f-fragment08_1,His problem will be that Mrs Thatcher might decide to do it first and then she will garner the votes,FALSE,test,,
a1f-fragment09_3,From MR DENIS MacSHANE,FALSE,train,,9
a1f-fragment09_4,Sir If Labour is to suggest the setting+up of a specialist labour court 30 September then such a momentous change in the industrial relations system deserves more discussion and needs to be taken out+of the hot-house of Labour+Party conference politics,FALSE,test,,
a1f-fragment09_5,For three reasons such a move should be welcomed,FALSE,test,,
a1f-fragment09_6,First it would bring Britain into+line+with the best European practice notably in Germany where local regional and federal labour courts handle problems in a fair dispassionate way based on law precedent and judicial expertise in the labour field,FALSE,test,,
a1f-fragment09_7,Second it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union immunities,FALSE,test,,
a1f-fragment09_8,Labour law will always reflect the balance of power in society and a fully+fledged labour court system will not remove class and fundamental employer-employee differences,FALSE,train,,9
a1f-fragment09_9,But it should be possible to create and enforce enough common rules to prevent the absurd see-sawing of industrial relations legislation we have seen since 1969,FALSE,test,,
a1f-fragment09_10,Third a labour division of the High Court would contribute to the process of constitutional reform in Britain which surely is to be a key political issue in the 1990s,FALSE,test,,
a1f-fragment09_1,The trade union question would cease to haunt the Labour+Party and while that might upset some Conservatives it would be good for the country,FALSE,test,,
a1f-fragment10_2,Letter Independence of no-fixed-abode,TRUE,test,,
a1f-fragment10_3,From The Rev NERISSA JONES,FALSE,test,,
a1f-fragment10_4,Sir On Saturday you published an advertisement for the 10 extra pages of news and features that you The Independent will carry from 2 October,FALSE,test,,
a1f-fragment10_5,What do independent experts say about our 10 extra pages asks the advertisement,TRUE,test,,
a1f-fragment10_6,The supposedly jokey answers are illustrated by photographs of people sleeping outside covered by copies of The Independent they look like Botolph St to come who visitors hundreds day every people homeless Centre Crypt some of the of for,TRUE,test,,
a1f-fragment10_7,Given the already appalling and growing rate of homelessness and lack of hostel facilities in London when more people than ever will not only have to endure the freezing nights of the coming winter on the streets but perhaps permanent homelessness it was terrible to see the situation being exploited for a joke by your advertisement Just the thing now the evenings are drawing+in,FALSE,train,,7
a1f-fragment10_8,The added coverage is exactly what I wanted,FALSE,test,,
a1f-fragment10_1,How much independence do you suppose a person has who exists on the no-fixed-abode Giro of £34.90 a week,TRUE,test,,
a1f-fragment11_2,Letter EC immigration checks on trains,FALSE,test,,
a1f-fragment11_3,From The Rev J. GILMORE,FALSE,test,,
a1f-fragment11_4,Sir The contents of Sarah Helm article Immigration checks to be made on trains 25 September are extremely worrying,FALSE,test,,
a1f-fragment11_5,During the recent European Community elections the representatives of EC governments promoted the ideal of a border-free Europe by 1992,FALSE,test,,
a1f-fragment11_6,Now it would appear from this article that this ideal is shattered and a two-tiered Europe is on the cards,TRUE,test,,
a1f-fragment11_7,One for those who travel by aircraft and one for those who travel by train between London and Paris,FALSE,test,,
a1f-fragment11_8,The presence of immigration officials and police on+board trains is comparable to the scenes of 1930s America where migrant labourers were turned+back at state boundaries,FALSE,test,,
a1f-fragment11_9,What criteria would police and immigration officials use in their search for potential terrorists on a train that they could not use at a static checkpoint or airport,FALSE,test,,
a1f-fragment11_10,Do terrorists or illegal persons travel exclusively by train,FALSE,test,,
