word,DELMET,wordcat,word_10,label_10,word_22,label_22,word_21,label_21,word_5,label_5,word_1,label_1
And,0,CJ,And,0,And,0,And,0,And,0,ultimate,1
there,0,EX,there,0,there,0,there,0,there,0,defence,0
is,0,V,is,0,is,0,is,0,is,0,money,0
always,0,AV,always,1,always,0,always,0,always,1,backers,0
the,0,AT,the,0,the,0,the,0,the,0,slow,1
ultimate,0,AJ,ultimate,1,ultimate,0,ultimate,0,ultimate,1,procession,0
unbundler,0,N,unbundler,0,unbundler,0,unbundler,0,unbundler,0,coffin,0
defence,1,N,defence,1,defence,1,defence,1,defence,0,mountains,0
that,0,CJ,that,0,that,0,that,0,that,0,capital,0
he,0,PN,he,0,he,0,he,0,he,0,Cetinje,0
will,0,V,will,0,will,0,will,0,will,0,reburial,0
make,1,V,make,1,make,0,make,0,make,0,monastery,0
money,0,N,money,0,money,0,money,0,money,0,Thomson,0
for,0,PR,for,0,for,0,for,0,for,0,transferred,0
his,0,DP,his,0,his,0,his,0,his,0,Stein,0
backers,0,N,backers,0,backers,0,backers,0,backers,0,literary,1
Then,0,AV,Then,0,Then,0,Then,0,Then,0,abstraction,1
they,0,PN,they,0,they,0,they,0,they,0,music,0
formed,0,V,formed,0,formed,0,formed,0,formed,0,life,0
a,0,AT,a,0,a,0,a,0,a,0,sitter,0
slow,0,AJ,slow,0,slow,0,slow,0,slow,0,drawing,0
procession,0,N,procession,0,procession,1,procession,0,procession,0,technique,0
behind,0,PR,behind,0,behind,0,behind,0,behind,0,painter,0
the,0,AT,the,0,the,0,the,0,the,0,employ,0
coffin,0,N,coffin,0,coffin,0,coffin,0,coffin,0,portraits,0
into,0,PR,into,0,into,0,into,0,into,0,unusually,0
the,0,AT,the,0,the,0,the,0,the,0,ideal,1
mountains,0,N,mountains,0,mountains,0,mountains,0,mountains,0,combination,0
to,0,PR,to,0,to,0,to,0,to,0,Thomson,0
the,0,AT,the,0,the,0,the,0,the,0,habit,0
old,0,AJ,old,0,old,0,old,0,old,0,response,0
royal,0,AJ,royal,0,royal,0,royal,0,royal,0,subject,0
capital,0,N,capital,0,capital,0,capital,0,capital,0,cases,0
of,0,PR,of,0,of,0,of,0,of,0,Labour,0
Cetinje,0,N,Cetinje,0,Cetinje,0,Cetinje,0,Cetinje,0,quangos,0
for,0,PR,for,0,for,0,for,0,for,0,merge,0
his,0,DP,his,0,his,0,his,0,his,0,ones,0
reburial,0,N,reburial,0,reburial,0,reburial,0,reburial,0,replace,0
in,0,PR,in,0,in,0,in,0,in,0,bodies,0
the,0,AT,the,0,the,0,the,0,the,0,success,0
