word,DELMET,word_10,label_10,word_5,label_5,word_22,label_22,word_1,label_1,word_21,label_21,,,,,
And,0,And,0,And,0,And,0,And,0,And,0,,,,,
there,0,there,0,there,0,there,0,there,0,there,0,,,,,
is,0,is,0,is,0,is,0,is,0,is,0,,,,,
always,0,always,1,always,0,always,0,always,0,always,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
ultimate,0,ultimate,1,ultimate,0,ultimate,0,ultimate,0,ultimate,0,,,,,
unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,,,,,
defence,1,defence,0,defence,0,defence,1,defence,1,defence,1,,,,,
that,0,that,0,that,0,that,0,that,0,that,0,,,,,
he,0,he,0,he,0,he,0,he,0,he,0,,,,,
will,0,will,0,will,0,will,0,will,0,will,0,,,,,
make,1,make,0,make,0,make,0,make,0,make,0,,,,,
money,0,money,0,money,1,money,1,money,0,money,0,,,,,
for,0,for,0,for,0,for,0,for,0,for,0,,,,,
his,0,his,0,his,0,his,0,his,0,his,0,,,,,
backers,0,backers,0,backers,0,backers,0,backers,0,backers,0,,,,,
Then,0,Then,0,Then,0,Then,0,Then,0,Then,0,,,,,
they,0,they,0,they,0,they,0,they,0,they,0,,,,,
formed,0,formed,0,formed,0,formed,0,formed,0,formed,0,,,,,
a,0,a,0,a,0,a,0,a,0,a,0,,,,,
slow,0,slow,0,slow,0,slow,0,slow,0,slow,0,,,,,
procession,0,procession,0,procession,0,procession,0,procession,1,procession,0,,,,,
behind,0,behind,0,behind,0,behind,0,behind,0,behind,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
coffin,0,coffin,0,coffin,0,coffin,0,coffin,0,coffin,0,,,,,
into,0,into,0,into,0,into,0,into,0,into,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
mountains,0,mountains,0,mountains,0,mountains,0,mountains,0,mountains,0,,,,,
to,0,to,0,to,0,to,0,to,0,to,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
old,0,old,0,old,0,old,0,old,0,old,0,,,,,
royal,0,royal,0,royal,0,royal,0,royal,0,royal,0,,,,,
capital,0,capital,0,capital,0,capital,0,capital,0,capital,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
Cetinje,0,Cetinje,0,Cetinje,0,Cetinje,0,Cetinje,0,Cetinje,0,,,,,
for,0,for,0,for,0,for,0,for,0,for,0,,,,,
his,0,his,0,his,0,his,0,his,0,his,0,,,,,
reburial,0,reburial,0,reburial,0,reburial,0,reburial,0,reburial,0,,,,,
in,0,in,0,in,0,in,0,in,0,in,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
monastery,0,monastery,0,monastery,0,monastery,0,monastery,0,monastery,0,,,,,
there,0,there,0,there,0,there,0,there,0,there,0,,,,,
Just+as+so,0,Just+as+so,0,Just+as+so,0,Just+as+so,0,Just+as+so,0,Just+as+so,0,,,,,
Thomson,0,Thomson,0,Thomson,0,Thomson,0,Thomson,0,Thomson,0,,,,,
transferred,1,transferred,0,transferred,0,transferred,0,transferred,0,transferred,0,,,,,
Stein,0,Stein,0,Stein,0,Stein,0,Stein,0,Stein,0,,,,,
literary,0,literary,0,literary,0,literary,1,literary,0,literary,0,,,,,
abstraction,0,abstraction,0,abstraction,0,abstraction,1,abstraction,1,abstraction,1,,,,,
to,1,to,0,to,0,to,0,to,0,to,0,,,,,
music,0,music,0,music,0,music,0,music,0,music,0,,,,,
life,2,life,0,life,0,life,0,life,0,life,0,,,,,
from,2,from,0,from,0,from,0,from,0,from,0,,,,,
sitter,2,sitter,0,sitter,0,sitter,0,sitter,0,sitter,0,,,,,
drawing,2,drawing,0,drawing,0,drawing,0,drawing,0,drawing,0,,,,,
technique,2,technique,0,technique,0,technique,0,technique,0,technique,0,,,,,
painter,2,painter,0,painter,0,painter,0,painter,0,painter,0,,,,,
employ,2,employ,0,employ,0,employ,0,employ,0,employ,0,,,,,
portraits,2,portraits,0,portraits,0,portraits,0,portraits,0,portraits,0,,,,,
these,2,these,0,these,0,these,0,these,0,these,0,,,,,
unusually,0,unusually,0,unusually,0,unusually,0,unusually,0,unusually,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
an,0,an,0,an,0,an,0,an,0,an,0,,,,,
ideal,0,ideal,0,ideal,0,ideal,0,ideal,0,ideal,0,,,,,
combination,0,combination,0,combination,0,combination,0,combination,0,combination,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
Thomson,0,Thomson,0,Thomson,0,Thomson,0,Thomson,0,Thomson,0,,,,,
habit,1,habit,0,habit,0,habit,0,habit,0,habit,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
immediate,1,immediate,1,immediate,0,immediate,0,immediate,0,immediate,0,,,,,
response,1,response,0,response,0,response,0,response,1,response,0,,,,,
with,1,with,0,with,0,with,0,with,0,with,0,,,,,
an,0,an,0,an,0,an,0,an,0,an,0,,,,,
actual,0,actual,0,actual,0,actual,0,actual,0,actual,0,,,,,
subject,1,subject,0,subject,0,subject,0,subject,0,subject,0,,,,,
In,1,In,0,In,0,In,0,In,0,In,0,,,,,
some,0,some,0,some,0,some,0,some,0,some,0,,,,,
