word,DELMET,word_10,label_10,word_5,label_5,word_22,label_22,word_1,label_1,word_21,label_21
And,0,And,0,And,0,ultimate,1,ultimate,1,And,0
there,0,there,0,there,0,unbundler,0,defence,1,there,0
is,0,is,0,is,0,defence,0,money,0,is,0
always,0,always,1,always,0,that,0,formed,0,always,0
the,0,the,0,the,0,he,0,procession,0,the,0
ultimate,0,ultimate,0,ultimate,0,will,0,behind,0,ultimate,0
unbundler,0,unbundler,0,unbundler,0,make,0,coffin,0,unbundler,1
defence,1,defence,0,defence,1,money,0,mountains,0,defence,0
that,0,that,0,that,0,for,0,capital,0,that,0
he,0,he,0,he,0,his,0,reburial,0,he,0
will,0,will,0,will,0,backers,0,monastery,0,will,0
make,1,make,1,make,0,Then,0,Thomson,0,make,0
money,0,money,0,money,0,they,0,transferred,0,money,0
for,0,for,0,for,0,formed,0,abstraction,1,for,0
his,0,his,0,his,0,a,0,music,0,his,0
backers,0,backers,0,backers,0,slow,0,life,0,backers,0
Then,0,Then,0,Then,0,procession,0,sitter,0,Then,0
they,0,they,0,they,0,behind,0,drawing,0,they,0
formed,0,formed,0,formed,0,the,0,technique,0,formed,0
a,0,a,0,a,0,coffin,0,painter,0,a,0
slow,0,slow,0,slow,0,into,0,employ,0,slow,0
procession,0,procession,0,procession,0,the,0,portraits,0,procession,0
behind,0,behind,0,behind,0,mountains,0,combination,0,behind,0
the,0,the,0,the,0,to,0,habit,0,the,0
coffin,0,coffin,0,coffin,0,the,0,response,0,coffin,0
into,0,into,0,into,0,old,0,subject,0,into,0
the,0,the,0,the,0,royal,0,cases,0,the,0
mountains,0,mountains,0,mountains,0,capital,0,quangos,0,mountains,0
to,0,to,0,to,0,of,0,merge,0,to,0
the,0,the,0,the,0,Cetinje,0,existing,0,the,0
old,0,old,0,old,0,for,0,ones,0,old,0
royal,0,royal,0,royal,0,his,0,replace,0,royal,0
capital,0,capital,0,capital,0,reburial,0,bodies,0,capital,0
of,0,of,0,of,0,in,0,success,0,of,0
Cetinje,0,Cetinje,0,Cetinje,0,the,0,relationship,0,Cetinje,0
for,0,for,0,for,0,monastery,0,lot,0,for,0
his,0,his,0,his,0,there,0,marriage,0,his,0
reburial,0,reburial,0,reburial,0,Just+as+so,0,see,0,reburial,0
in,0,in,0,in,0,Thomson,0,author,0,in,0
the,0,the,0,the,0,transferred,0,illustrator,0,the,0
monastery,0,monastery,0,monastery,0,Stein,0,roles,0,monastery,0
there,0,there,0,there,0,literary,0,partnership,0,there,0
Just+as+so,0,Just+as+so,0,Just+as+so,0,abstraction,0,book-makers,0,Just+as+so,0
Thomson,0,Thomson,0,Thomson,0,to,0,contributing,0,Thomson,0
