word,DELMET,word_5,label_5,word_22,label_22,word_10,label_10,word_10,label_10,word_22,label_22,word_21,label_21,word_5,label_5,word_1,label_1
And,0,And,0.0,And,0.0,And,0.0,And,0,And,0,And,0,And,0,And,0
there,0,there,0.0,there,0.0,there,0.0,there,0,there,0,there,0,there,0,there,0
is,0,is,0.0,is,0.0,is,0.0,is,0,is,0,is,0,is,0,is,0
always,0,always,0.0,always,0.0,always,0.0,always,0,always,0,always,0,always,0,always,0
the,0,the,0.0,the,0.0,the,0.0,the,0,the,0,the,0,the,0,the,0
ultimate,0,ultimate,0.0,ultimate,0.0,ultimate,0.0,ultimate,0,ultimate,0,ultimate,0,ultimate,0,ultimate,0
unbundler,0,unbundler,0.0,unbundler,0.0,unbundler,0.0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0
defence,1,defence,1.0,defence,1.0,defence,1.0,defence,1,defence,1,defence,1,defence,1,defence,0
that,0,that,0.0,that,0.0,that,0.0,that,0,that,0,that,0,that,0,that,0
he,0,he,0.0,he,0.0,he,0.0,he,0,he,0,he,0,he,0,he,0
will,0,will,0.0,will,0.0,will,0.0,will,0,will,0,will,0,will,0,will,0
make,1,make,0.0,make,0.0,make,0.0,make,0,make,0,make,0,make,0,make,0
money,0,money,0.0,money,0.0,money,0.0,money,0,money,0,money,0,money,0,money,0
for,0,for,0.0,for,0.0,for,0.0,for,0,for,0,for,0,for,0,for,0
his,0,his,0.0,his,0.0,his,0.0,his,0,his,0,his,0,his,0,his,0
backers,0,backers,0.0,backers,0.0,backers,0.0,backers,0,backers,0,backers,0,backers,0,backers,0
Then,0,Then,0.0,Then,0.0,Then,0.0,Then,0,Then,0,Then,0,Then,0,Then,0
they,0,they,0.0,they,0.0,they,0.0,they,0,they,0,they,0,they,0,they,0
formed,0,formed,0.0,formed,1.0,formed,0.0,formed,0,formed,1,formed,0,formed,0,formed,0
a,0,a,0.0,a,0.0,a,0.0,a,0,a,0,a,0,a,0,a,0
slow,0,slow,0.0,slow,0.0,slow,0.0,slow,0,slow,0,slow,0,slow,0,slow,0
procession,0,procession,0.0,procession,1.0,procession,1.0,procession,1,procession,1,procession,0,procession,0,procession,0
behind,0,behind,0.0,behind,0.0,behind,0.0,behind,0,behind,0,behind,0,behind,0,behind,0
the,0,the,0.0,the,0.0,the,0.0,the,0,the,0,the,0,the,0,the,0
coffin,0,coffin,0.0,coffin,0.0,coffin,0.0,coffin,0,coffin,0,coffin,0,coffin,0,coffin,0
into,0,into,0.0,into,0.0,into,0.0,into,0,into,0,into,0,into,0,into,0
the,0,the,0.0,the,0.0,the,0.0,the,0,the,0,the,0,the,0,the,0
mountains,0,mountains,0.0,mountains,0.0,mountains,0.0,mountains,0,mountains,0,mountains,0,mountains,0,mountains,0
to,0,to,0.0,to,0.0,to,0.0,to,0,to,0,to,0,to,0,to,0
the,0,the,0.0,the,0.0,the,0.0,the,0,the,0,the,0,the,0,the,0
old,0,old,0.0,old,0.0,old,0.0,old,0,old,0,old,0,old,0,old,0
royal,0,royal,0.0,royal,0.0,royal,0.0,royal,0,royal,0,royal,0,royal,0,royal,0
capital,0,capital,0.0,capital,0.0,capital,0.0,capital,0,capital,0,capital,0,capital,0,capital,0
of,0,of,0.0,of,0.0,of,0.0,of,0,of,0,of,0,of,0,of,0
Cetinje,0,Cetinje,0.0,Cetinje,0.0,Cetinje,0.0,Cetinje,0,Cetinje,0,Cetinje,0,Cetinje,0,Cetinje,0
for,0,for,0.0,for,0.0,for,0.0,for,0,for,0,for,0,for,0,for,0
his,0,his,0.0,his,0.0,his,0.0,his,0,his,0,his,0,his,0,his,0
reburial,0,reburial,0.0,reburial,0.0,reburial,0.0,reburial,0,reburial,0,reburial,0,reburial,0,reburial,0
in,0,in,0.0,in,0.0,in,0.0,in,0,in,0,in,0,in,0,in,0
the,0,the,0.0,the,0.0,the,0.0,the,0,the,0,the,0,the,0,the,0
monastery,0,monastery,0.0,monastery,0.0,monastery,0.0,monastery,0,monastery,0,monastery,0,monastery,0,monastery,0
there,0,there,0.0,there,0.0,there,0.0,there,0,there,0,there,0,there,0,there,0
Just+as+so,0,Just+as+so,0.0,Just+as+so,0.0,Just+as+so,0.0,Just+as+so,0,Just+as+so,0,Just+as+so,0,Just+as+so,0,Just+as+so,0
Thomson,0,Thomson,0.0,Thomson,0.0,Thomson,0.0,Thomson,0,Thomson,0,Thomson,0,Thomson,0,Thomson,0
transferred,1,transferred,0.0,transferred,1.0,transferred,0.0,transferred,0,transferred,1,transferred,0,transferred,0,transferred,0
Stein,0,Stein,0.0,Stein,0.0,Stein,0.0,Stein,0,Stein,0,Stein,0,Stein,0,Stein,0
literary,0,literary,0.0,literary,0.0,literary,0.0,literary,0,literary,0,literary,0,literary,0,literary,0
abstraction,0,abstraction,1.0,abstraction,1.0,abstraction,0.0,abstraction,0,abstraction,1,abstraction,1,abstraction,1,abstraction,0
