word,DELMET,word_5,label_5,word_22,label_22,word_10,label_10,word_10,label_10,word_22,label_22,word_21,label_21,word_5,label_5,word_1,label_1
And,0.0,And,0.0,ultimate,1.0,And,0.0,And,0,ultimate,1,And,0,And,0,And,0
there,0.0,there,0.0,unbundler,0.0,there,0.0,there,0,unbundler,0,there,0,there,0,there,0
is,0.0,is,0.0,defence,1.0,is,0.0,is,0,defence,1,is,0,is,0,is,0
always,0.0,always,0.0,that,0.0,always,1.0,always,1,that,0,always,0,always,0,always,0
the,0.0,the,0.0,he,0.0,the,0.0,the,0,he,0,the,0,the,0,the,0
ultimate,0.0,ultimate,0.0,will,0.0,ultimate,0.0,ultimate,0,will,0,ultimate,0,ultimate,0,ultimate,0
unbundler,0.0,unbundler,0.0,make,0.0,unbundler,0.0,unbundler,0,make,0,unbundler,0,unbundler,0,unbundler,0
defence,1.0,defence,1.0,money,0.0,defence,0.0,defence,0,money,0,defence,1,defence,1,defence,1
that,0.0,that,0.0,for,0.0,that,0.0,that,0,for,0,that,0,that,0,that,0
he,0.0,he,0.0,his,0.0,he,0.0,he,0,his,0,he,0,he,0,he,0
will,0.0,will,0.0,backers,0.0,will,0.0,will,0,backers,0,will,0,will,0,will,0
make,1.0,make,0.0,Then,0.0,make,0.0,make,0,Then,0,make,0,make,0,make,0
money,0.0,money,0.0,they,0.0,money,0.0,money,0,they,0,money,0,money,0,money,0
for,0.0,for,0.0,formed,0.0,for,0.0,for,0,formed,0,for,0,for,0,for,0
his,0.0,his,0.0,a,0.0,his,0.0,his,0,a,0,his,0,his,0,his,0
backers,0.0,backers,0.0,slow,0.0,backers,0.0,backers,0,slow,0,backers,0,backers,0,backers,0
Then,0.0,Then,0.0,procession,1.0,Then,0.0,Then,0,procession,1,Then,0,Then,0,Then,0
they,0.0,they,0.0,behind,0.0,they,0.0,they,0,behind,0,they,0,they,0,they,0
formed,0.0,formed,0.0,the,0.0,formed,0.0,formed,0,the,0,formed,0,formed,0,formed,0
a,0.0,a,0.0,coffin,0.0,a,0.0,a,0,coffin,0,a,0,a,0,a,0
slow,0.0,slow,0.0,into,0.0,slow,0.0,slow,0,into,0,slow,0,slow,0,slow,0
procession,0.0,procession,0.0,the,0.0,procession,0.0,procession,0,the,0,procession,0,procession,0,procession,0
behind,0.0,behind,0.0,mountains,0.0,behind,0.0,behind,0,mountains,0,behind,0,behind,0,behind,0
the,0.0,the,0.0,to,0.0,the,0.0,the,0,to,0,the,0,the,0,the,0
coffin,0.0,coffin,0.0,the,0.0,coffin,0.0,coffin,0,the,0,coffin,0,coffin,0,coffin,0
into,0.0,into,0.0,old,0.0,into,0.0,into,0,old,0,into,0,into,0,into,0
the,0.0,the,0.0,royal,0.0,the,0.0,the,0,royal,0,the,0,the,0,the,0
mountains,0.0,mountains,0.0,capital,0.0,mountains,0.0,mountains,0,capital,0,mountains,0,mountains,0,mountains,0
to,0.0,to,0.0,of,0.0,to,0.0,to,0,of,0,to,0,to,0,to,0
the,0.0,the,0.0,Cetinje,0.0,the,0.0,the,0,Cetinje,0,the,0,the,0,the,0
old,0.0,old,0.0,for,0.0,old,0.0,old,0,for,0,old,0,old,0,old,0
royal,0.0,royal,0.0,his,0.0,royal,0.0,royal,0,his,0,royal,0,royal,0,royal,0
capital,0.0,capital,0.0,reburial,0.0,capital,0.0,capital,0,reburial,0,capital,0,capital,0,capital,0
of,0.0,of,0.0,in,0.0,of,0.0,of,0,in,0,of,0,of,0,of,0
Cetinje,0.0,Cetinje,0.0,the,0.0,Cetinje,0.0,Cetinje,0,the,0,Cetinje,0,Cetinje,0,Cetinje,0
for,0.0,for,0.0,monastery,0.0,for,0.0,for,0,monastery,0,for,0,for,0,for,0
his,0.0,his,0.0,there,0.0,his,0.0,his,0,there,0,his,0,his,0,his,0
reburial,0.0,reburial,0.0,Just+as+so,0.0,reburial,0.0,reburial,0,Just+as+so,0,reburial,0,reburial,0,reburial,0
in,0.0,in,0.0,Thomson,0.0,in,0.0,in,0,Thomson,0,in,0,in,0,in,0
the,0.0,the,0.0,transferred,0.0,the,0.0,the,0,transferred,0,the,0,the,0,the,0
monastery,0.0,monastery,0.0,Stein,0.0,monastery,0.0,monastery,0,Stein,0,monastery,0,monastery,0,monastery,0
there,0.0,there,0.0,literary,1.0,there,0.0,there,0,literary,1,there,0,there,0,there,0
Just+as+so,0.0,Just+as+so,0.0,abstraction,1.0,Just+as+so,0.0,Just+as+so,0,abstraction,1,Just+as+so,0,Just+as+so,0,Just+as+so,0
Thomson,0.0,Thomson,0.0,to,0.0,Thomson,0.0,Thomson,0,to,0,Thomson,0,Thomson,0,Thomson,0
transferred,1.0,transferred,0.0,music,0.0,transferred,0.0,transferred,0,music,0,transferred,0,transferred,0,transferred,0
Stein,0.0,Stein,0.0,life,0.0,Stein,0.0,Stein,0,life,0,Stein,0,Stein,0,Stein,0
literary,0.0,literary,0.0,from,0.0,literary,0.0,literary,0,from,0,literary,0,literary,0,literary,0
abstraction,0.0,abstraction,1.0,sitter,0.0,abstraction,0.0,abstraction,0,sitter,0,abstraction,1,abstraction,1,abstraction,1
to,1.0,to,0.0,drawing,0.0,to,0.0,to,0,drawing,0,to,0,to,0,to,0
music,0.0,music,0.0,technique,0.0,music,0.0,music,0,technique,0,music,0,music,0,music,0
life,2.0,life,0.0,painter,0.0,life,0.0,life,0,painter,0,life,1,life,0,life,0
from,2.0,from,0.0,employ,0.0,from,0.0,from,0,employ,0,from,0,from,0,from,0
sitter,2.0,sitter,0.0,portraits,0.0,sitter,0.0,sitter,0,portraits,0,sitter,0,sitter,0,sitter,0
drawing,2.0,drawing,0.0,these,0.0,drawing,0.0,drawing,0,these,0,drawing,0,drawing,0,drawing,0
technique,2.0,technique,0.0,unusually,0.0,technique,0.0,technique,0,unusually,0,technique,0,technique,0,technique,0
painter,2.0,painter,0.0,the,0.0,painter,0.0,painter,0,the,0,painter,0,painter,0,painter,0
employ,2.0,employ,0.0,of,0.0,employ,0.0,employ,0,of,0,employ,0,employ,0,employ,0
portraits,2.0,portraits,0.0,the,0.0,portraits,0.0,portraits,0,the,0,portraits,0,portraits,0,portraits,0
these,2.0,these,0.0,an,0.0,these,0.0,these,0,an,0,these,0,these,0,these,0
unusually,0.0,unusually,0.0,ideal,1.0,unusually,0.0,unusually,0,ideal,1,unusually,0,unusually,0,unusually,0
the,0.0,the,0.0,combination,0.0,the,0.0,the,0,combination,0,the,0,the,0,the,0
of,0.0,of,0.0,of,0.0,of,0.0,of,0,of,0,of,0,of,0,of,0
the,0.0,the,0.0,Thomson,0.0,the,0.0,the,0,Thomson,0,the,0,the,0,the,0
an,0.0,an,0.0,habit,0.0,an,0.0,an,0,habit,0,an,0,an,0,an,0
ideal,0.0,ideal,0.0,of,0.0,ideal,0.0,ideal,0,of,0,ideal,0,ideal,0,ideal,0
combination,0.0,combination,0.0,immediate,0.0,combination,0.0,combination,0,immediate,0,combination,0,combination,0,combination,0
of,0.0,of,0.0,response,0.0,of,0.0,of,0,response,0,of,0,of,0,of,0
Thomson,0.0,Thomson,0.0,with,0.0,Thomson,0.0,Thomson,0,with,0,Thomson,0,Thomson,0,Thomson,0
habit,1.0,habit,0.0,an,0.0,habit,0.0,habit,0,an,0,habit,0,habit,0,habit,0
of,0.0,of,0.0,actual,0.0,of,0.0,of,0,actual,0,of,0,of,0,of,0
immediate,1.0,immediate,0.0,subject,0.0,immediate,0.0,immediate,0,subject,0,immediate,0,immediate,0,immediate,0
response,1.0,response,0.0,In,0.0,response,0.0,response,0,In,0,response,0,response,0,response,0
with,1.0,with,0.0,some,0.0,with,0.0,with,0,some,0,with,0,with,0,with,0
