word,DELMET,wordcat,word_1,label_1
And,0,CJ,ultimate,1
there,0,EX,defence,0
is,0,V,money,0
always,0,AV,backers,0
the,0,AT,formed,0
ultimate,0,AJ,procession,0
unbundler,0,N,coffin,0
defence,1,N,mountains,0
that,0,CJ,capital,0
he,0,PN,reburial,0
will,0,V,monastery,0
make,1,V,transferred,0
money,0,N,abstraction,0
for,0,PR,music,0
his,0,DP,life,0
backers,0,N,sitter,0
Then,0,AV,drawing,0
they,0,PN,technique,0
formed,0,V,painter,0
a,0,AT,employ,0
slow,0,AJ,portraits,0
procession,0,N,combination,0
behind,0,PR,habit,0
the,0,AT,response,0
coffin,0,N,subject,0
into,0,PR,cases,0
the,0,AT,quangos,0
mountains,0,N,merge,0
to,0,PR,existing,0
the,0,AT,ones,0
old,0,AJ,replace,0
royal,0,AJ,bodies,0
capital,0,N,success,0
of,0,PR,relationship,0
Cetinje,0,N,lot,0
for,0,PR,marriage,0
his,0,DP,themselves,0
reburial,0,N,author,0
in,0,PR,illustrator,0
the,0,AT,separate,0
monastery,0,N,roles,0
there,0,AV,partnership,0
Just+as+so,0,AV + CJ + AV,book-makers,0
Thomson,0,N,contributing,0
transferred,1,V,process,0
Stein,0,N,holding,0
literary,0,AJ,meetings,0
abstraction,0,N,children,0
to,1,PR,having,0
music,0,N,telecottage,0
life,2,N,store,0
from,2,PR,people,0
sitter,2,N,life,0
drawing,2,V,entrepreneurs,0
technique,2,N,spouses,0
painter,2,N,shop+assistants,0
employ,2,V,craftspeople,0
portraits,2,N,children,0
these,2,DT,chants,0
unusually,0,AV,humiliation,0
the,0,AT,side,0
of,0,PR,start,0
the,0,AT,season,0
an,0,AT,going-over,0
ideal,0,AJ,players,0
combination,0,N,secretary,0
of,0,PR,workers,0
Thomson,0,N,union,0
habit,1,N,vote,0
of,0,PR,defence,0
immediate,1,AJ,policy,0
response,1,N,majority,0
with,1,PR,right-wingers,0
an,0,AT,warned,0
actual,0,AJ,leaders,0
subject,1,N,expect,0
In,1,PR,everybody,0
some,0,DT,goose-step,0
cases,0,N,direction,0
Labour,0,N,policy,0
quangos,0,N,Clocks,0
merge,1,V,instruments,0
existing,0,AJ,sell,0
ones,0,N,house,0
or,0,CJ,cottage,0
replace,1,V,centre,0
well-established,0,AJ,town,0
bodies,1,N,cottage,0
The,0,AT,price,0
success,0,N,lots,0
of,0,PR,sale,0
the,0,AT,auction,0
Ahlbergs,0,N,Property,0
working,0,N,Services,0
relationship,0,N,hundred,0
must,0,V,subsidiary,0
have,0,V,auctioning,0
a,0,AT,venues,0
lot,0,N,period,0
to,0,TO,auction,0
do,0,V,buyers,0
with,1,PR,commit,0
their,0,DP,difficulty,0
long,1,AJ,buyers,0
and,0,CJ,proceed,0
happy,1,AJ,far,0
marriage,0,N,between,0
They,0,PN,director,0
see,1,V,estate+agents,0
themselves,0,PN,misunderstood,0
not,0,XX,Records,0
as,0,CJ,play,0
author,0,N,music,0
and,0,CJ,way,0
illustrator,0,N,account,0
with,1,PR,interrogated,0
separate,1,AJ,bombings,0
roles,1,N,scalp,0
but,0,CJ,crawl,0
as,0,PR,Government,0
a,0,AT,compounds,0
partnership,0,N,problems,0
of,0,PR,parameters,0
book-makers,0,N,reflect,0
contributing,0,V,value,0
equally,0,AV,country,0
to,1,PR,system,0
the,0,AT,shift,0
process,0,N,people,0
By,0,PR,destinations,0
holding,1,V,speed,0
open,1,AJ,safety,0
meetings,0,N,demonstrates,0
for,0,PR,describes,0
children,0,N,pitfalls,0
and,0,CJ,avoid,0
having,0,V,Copse,0
the,0,AT,robbers,0
telecottage,0,N,woodland,0
above,0,PR,usurped,0
the,0,AT,cattle,0
local,0,AJ,thieves,0
store,0,N,Hills,0
people,0,N,nothing,0
of,0,PR,Maj,0
all,0,DT,villagers,0
walks,1,N,recipients,0
of,0,PR,dollars,0
life,0,N,cameras,0
came+in,0,V + AV,needed,0
small-scale,0,AJ,clinic,0
entrepreneurs,0,N,collaborated,0
and,0,CJ,directly,1
their,0,DP,result,0
spouses,0,N,historical,1
shop+assistants,0,N + N,significance,0
craftspeople,0,N,effort,0
and,0,CJ,Department,0
children,0,N,Economic,0
As+if,0,CJ,Affairs,0
24-17,0,CR,set+up,1
and,0,CJ,Harold,0
