,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.851400731,0.110787172,0.603174603,0.060995185,63,623,38,3457,25,585,4105
Label_2,0.851644336,0.105726872,0.620689655,0.057784912,58,623,36,3460,22,587,4105
Label_3,0.851400731,0.138418079,0.576470588,0.078651685,85,623,49,3446,36,574,4105
Label_4,0.848477467,0.123943662,0.505747126,0.070626003,87,623,44,3439,43,579,4105
Label_5,0.852131547,0.087218045,0.69047619,0.046548957,42,623,29,3469,13,594,4105
Label_6,0.848964677,0.106628242,0.521126761,0.059390048,71,623,37,3448,34,586,4105
Label_7,0.849451888,0.203608247,0.516339869,0.126805778,153,623,79,3408,74,544,4105
Label_8,0.851400731,0.157458564,0.564356436,0.091492777,101,623,57,3438,44,566,4105
Label_9,0.848721072,0.121640736,0.511904762,0.069020867,84,623,43,3441,41,580,4105
Label_10,0.8545676,0.181069959,0.622641509,0.105939005,106,623,66,3442,40,557,4105
Label_11,0.851887942,0.136363636,0.592592593,0.077046549,81,623,48,3449,33,575,4105
Label_12,0.849939099,0.132394366,0.540229885,0.075441413,87,623,47,3442,40,576,4105
Label_13,0.849208283,0.069172932,0.547619048,0.036918138,42,623,23,3463,19,600,4105
Label_14,0.845797808,0.185328185,0.467532468,0.115569823,154,623,72,3400,82,551,4105
Label_15,0.848477467,0.185863874,0.503546099,0.113964687,141,623,71,3412,70,552,4105
Label_16,0.852375152,0.146478873,0.597701149,0.083467095,87,623,52,3447,35,571,4105
Label_17,0.851400731,0.201570681,0.546099291,0.123595506,141,623,77,3418,64,546,4105
Label_18,0.850182704,0.125177809,0.55,0.070626003,80,623,44,3446,36,579,4105
Label_19,0.847990256,0.2,0.496815287,0.125200642,157,623,78,3403,79,545,4105
Label_20,0.851644336,0.166894665,0.564814815,0.097913323,108,623,61,3435,47,562,4105
Label_21,0.84774665,0.217772215,0.494318182,0.13964687,176,623,87,3393,89,536,4105
Label_22,0.80682095,0.22331048,0.286432161,0.182985554,398,623,114,3198,284,509,4105
Label_23,0.848233861,0.231812577,0.5,0.150882825,188,623,94,3388,94,529,4105
Label_24,0.849695493,0.160544218,0.526785714,0.09470305,112,623,59,3429,53,564,4105
Label_25,0.842387333,0.227001195,0.443925234,0.152487961,214,623,95,3363,119,528,4105
