,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.851887942,0.092537313,0.659574468,0.04975923,47,623,31,3466,16,592,4105
Label_2,0.852131547,0.134094151,0.602564103,0.075441413,78,623,47,3451,31,576,4105
Label_3,0.849939099,0.174262735,0.528455285,0.104333868,123,623,65,3424,58,558,4105
Label_4,0.85408039,0.159887798,0.633333333,0.091492777,90,623,57,3449,33,566,4105
Label_5,0.851400731,0.081325301,0.658536585,0.043338684,41,623,27,3468,14,596,4105
Label_6,0.848477467,0.101156069,0.507246377,0.056179775,69,623,35,3448,34,588,4105
Label_7,0.850426309,0.218829517,0.527607362,0.138041734,163,623,86,3405,77,537,4105
Label_8,0.846285018,0.148448043,0.466101695,0.088282504,118,623,55,3419,63,568,4105
Label_9,0.848233861,0.147742818,0.5,0.086677368,108,623,54,3428,54,569,4105
Label_10,0.850669915,0.163710778,0.545454545,0.096308186,110,623,60,3432,50,563,4105
Label_11,0.851157125,0.12338594,0.581081081,0.069020867,74,623,43,3451,31,580,4105
Label_12,0.850669915,0.142657343,0.554347826,0.081861958,92,623,51,3441,41,572,4105
Label_13,0.848477467,0.077151335,0.509803922,0.041733547,51,623,26,3457,25,597,4105
Label_14,0.84409257,0.166666667,0.44137931,0.102728732,145,623,64,3401,81,559,4105
Label_15,0.845310597,0.167758847,0.457142857,0.102728732,140,623,64,3406,76,559,4105
Label_16,0.850669915,0.130496454,0.56097561,0.073836276,82,623,46,3446,36,577,4105
Label_17,0.848477467,0.168449198,0.504,0.101123596,125,623,63,3420,62,560,4105
Label_18,0.849695493,0.112230216,0.541666667,0.062600321,72,623,39,3449,33,584,4105
Label_19,0.848477467,0.204603581,0.503144654,0.128410915,159,623,80,3403,79,543,4105
Label_20,0.844579781,0.247641509,0.466666667,0.168539326,225,623,105,3362,120,518,4105
Label_21,0.851644336,0.212160414,0.546666667,0.131621188,150,623,82,3414,68,541,4105
Label_22,0.84725944,0.167330677,0.484615385,0.101123596,130,623,63,3415,67,560,4105
Label_23,0.845066991,0.201005025,0.462427746,0.128410915,173,623,80,3389,93,543,4105
Label_24,0.627771011,0.244312562,0.176554682,0.3964687,1399,623,247,2330,1152,376,4105
Label_25,0.84725944,0.24,0.49009901,0.158908507,202,623,99,3379,103,524,4105
