,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.851887942,0.100591716,0.641509434,0.054574639,53,623,34,3463,19,589,4105
Label_2,0.852618758,0.119359534,0.640625,0.065810594,64,623,41,3459,23,582,4105
Label_3,0.810718636,0.204708291,0.282485876,0.160513644,354,623,100,3228,254,523,4105
Label_4,0.852618758,0.156206416,0.595744681,0.08988764,94,623,56,3444,38,567,4105
Label_5,0.848964677,0.05775076,0.542857143,0.030497592,35,623,19,3466,16,604,4105
Label_6,0.848721072,0.111587983,0.513157895,0.062600321,76,623,39,3445,37,584,4105
Label_7,0.846285018,0.231425091,0.47979798,0.152487961,198,623,95,3379,103,528,4105
Label_8,0.851644336,0.175913396,0.560344828,0.104333868,116,623,65,3431,51,558,4105
Label_9,0.848964677,0.136490251,0.515789474,0.078651685,95,623,49,3436,46,574,4105
Label_10,0.852131547,0.176390773,0.570175439,0.104333868,114,623,65,3433,49,558,4105
Label_11,0.85091352,0.138028169,0.563218391,0.078651685,87,623,49,3444,38,574,4105
Label_12,0.849208283,0.136680614,0.521276596,0.078651685,94,623,49,3437,45,574,4105
Label_13,0.849939099,0.075075075,0.581395349,0.040128411,43,623,25,3464,18,598,4105
Label_14,0.851400731,0.171195652,0.557522124,0.101123596,113,623,63,3432,50,560,4105
Label_15,0.845066991,0.174025974,0.455782313,0.107544141,147,623,67,3402,80,556,4105
Label_16,0.848477467,0.136111111,0.505154639,0.078651685,97,623,49,3434,48,574,4105
Label_17,0.852375152,0.206806283,0.560283688,0.126805778,141,623,79,3420,62,544,4105
Label_18,0.849208283,0.088365243,0.535714286,0.048154093,56,623,30,3456,26,593,4105
Label_19,0.849451888,0.205655527,0.516129032,0.128410915,155,623,80,3407,75,543,4105
Label_20,0.849208283,0.169127517,0.516393443,0.101123596,122,623,63,3423,59,560,4105
Label_21,0.853836784,0.216710183,0.58041958,0.133226324,143,623,83,3422,60,540,4105
Label_22,0.849208283,0.121985816,0.524390244,0.069020867,82,623,43,3443,39,580,4105
Label_23,0.84409257,0.264367816,0.465587045,0.18459069,247,623,115,3350,132,508,4105
Label_24,0.705237515,0.250309789,0.203834511,0.32423756,991,623,202,2693,789,421,4105
Label_25,0.8409257,0.221692491,0.430555556,0.149277689,216,623,93,3359,123,530,4105
