,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.851725538,0.1013054,0.634752835,0.055109684,54.33333333,623,34.33333333,3462,20,588.6666667,4105
Label_10,0.852456354,0.173723837,0.579423831,0.102193686,110,623,63.66666667,3435.666667,46.33333333,559.3333333,4105
Label_11,0.851319529,0.132592582,0.578964021,0.074906367,80.66666667,623,46.66666667,3448,34,576.3333333,4105
Label_12,0.849939099,0.137244108,0.538618102,0.078651685,91,623,49,3440,42,574,4105
Label_13,0.849208283,0.073799781,0.546272773,0.039593365,45.33333333,623,24.66666667,3461.333333,20.66666667,598.3333333,4105
Label_14,0.847097036,0.174396835,0.488811301,0.10647405,137.3333333,623,66.33333333,3411,71,556.6666667,4105
Label_15,0.846285018,0.175882898,0.47215709,0.108079187,142.6666667,623,67.33333333,3406.666667,75.33333333,555.6666667,4105
Label_16,0.850507511,0.137695479,0.554610466,0.078651685,88.66666667,623,49,3442.333333,39.66666667,574,4105
Label_17,0.850751117,0.192275387,0.536794326,0.11717496,135.6666667,623,73,3419.333333,62.66666667,550,4105
Label_18,0.849695493,0.108591089,0.542460317,0.060460139,69.33333333,623,37.66666667,3450.333333,31.66666667,585.3333333,4105
Label_19,0.84863987,0.203419703,0.505362991,0.127340824,157,623,79.33333333,3404.333333,77.66666667,543.6666667,4105
Label_2,0.852131547,0.119726853,0.621292919,0.066345639,66.66666667,623,41.33333333,3456.666667,25.33333333,581.6666667,4105
Label_20,0.848477467,0.194554564,0.515958308,0.122525415,151.6666667,623,76.33333333,3406.666667,75.33333333,546.6666667,4105
Label_21,0.851075924,0.215547604,0.540468143,0.134831461,156.3333333,623,84,3409.666667,72.33333333,539,4105
Label_22,0.834429557,0.170875658,0.431812596,0.117710005,203.3333333,623,73.33333333,3352,130,549.6666667,4105
Label_23,0.845797808,0.232395139,0.47600493,0.154628143,202.6666667,623,96.33333333,3375.666667,106.3333333,526.6666667,4105
Label_24,0.727568006,0.218388856,0.302391636,0.271803103,834,623,169.3333333,2817.333333,664.6666667,453.6666667,4105
Label_25,0.843524158,0.229564562,0.454859933,0.153558052,210.6666667,623,95.66666667,3367,115,527.3333333,4105
Label_3,0.837352822,0.172463035,0.462470583,0.114499732,187.3333333,623,71.33333333,3366,116,551.6666667,4105
Label_4,0.851725538,0.146679292,0.578275047,0.08400214,90.33333333,623,52.33333333,3444,38,570.6666667,4105
Label_5,0.850832318,0.075431369,0.630623306,0.040128411,39.33333333,623,25,3467.666667,14.33333333,598,4105
Label_6,0.848721072,0.106457431,0.513843677,0.059390048,72,623,37,3447,35,586,4105
Label_7,0.848721072,0.217954285,0.50791507,0.139111825,171.3333333,623,86.66666667,3397.333333,84.66666667,536.3333333,4105
Label_8,0.849776695,0.160606668,0.530267653,0.09470305,111.6666667,623,59,3429.333333,52.66666667,564,4105
Label_9,0.84863987,0.135291268,0.509231412,0.07811664,95.66666667,623,48.66666667,3435,47,574.3333333,4105
