,Accuracy,F1,Precision,Recall,Support,Detected_num,Total_Num,True_detected_num,True_Nonconv_num,Wrong_detected_num,Wrong_Nonconv_num
Label_1,0.846364221,0.795282133,0.816002514,0.846364221,4144,99.33333333,662,62.33333333,3445,37,599.6666667
Label_10,0.844272844,0.790029151,0.809343757,0.844272844,4144,84.66666667,662,50.66666667,3448,34,611.3333333
Label_21,0.846685972,0.808642189,0.813731982,0.846685972,4144,186.6666667,662,106.6666667,3402,80,555.3333333
Label_22,0.839607465,0.798701746,0.798221101,0.839607465,4144,180,662,88.66666667,3390.666667,91.33333333,573.3333333
Label_5,0.842342342,0.7827506,0.80222254,0.842342342,4144,59.33333333,662,34,3456.666667,25.33333333,628
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
