,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative
Label_1,0.8469591226321037,0.17027027027027028,0.45323741007194246,0.1048252911813644,139,601,63,3335,76,538
Label_2,0.8546859421734796,0.2257636122177955,0.5592105263157895,0.14143094841930118,152,601,85,3344,67,516
Label_3,0.8564307078763709,0.24804177545691905,0.5757575757575758,0.15806988352745424,165,601,95,3341,70,506
Label_4,0.8504486540378864,0.20424403183023873,0.5032679738562091,0.1281198003327787,153,601,77,3335,76,524
Label_5,0.8519441674975075,0.16573033707865167,0.5315315315315315,0.09816971713810316,111,601,59,3359,52,542
Label_6,0.848703888334995,0.13161659513590845,0.46938775510204084,0.07653910149750416,98,601,46,3359,52,555
Label_7,0.8482053838484547,0.18908122503328897,0.47333333333333333,0.11813643926788686,150,601,71,3332,79,530
Label_8,0.8534396809571286,0.216,0.5436241610738255,0.13477537437603992,149,601,81,3343,68,520
Label_9,0.849950149551346,0.20789473684210527,0.4968553459119497,0.1314475873544093,159,601,79,3331,80,522
Label_10,0.8609172482552343,0.288265306122449,0.6174863387978142,0.18801996672212978,183,601,113,3341,70,488
Label_11,0.8501994017946162,0.18893387314439944,0.5,0.11647254575707154,140,601,70,3341,70,531
Label_12,0.8477068793619142,0.17543859649122806,0.4642857142857143,0.10815307820299501,140,601,65,3336,75,536
Label_13,0.8551844466600199,0.1874125874125874,0.5877192982456141,0.11148086522462562,114,601,67,3364,47,534
Label_14,0.8526919242273181,0.20457604306864066,0.5352112676056338,0.1264559068219634,142,601,76,3345,66,525
Label_15,0.8467098703888335,0.17890520694259013,0.4527027027027027,0.11148086522462562,148,601,67,3330,81,534
Label_16,0.8482053838484547,0.18908122503328897,0.47333333333333333,0.11813643926788686,150,601,71,3332,79,530
Label_17,0.8569292123629113,0.2305630026809652,0.593103448275862,0.14309484193011648,145,601,86,3352,59,515
Label_18,0.8469591226321037,0.1856763925729443,0.45751633986928103,0.11647254575707154,153,601,70,3328,83,531
Label_19,0.849950149551346,0.24181360201511334,0.49740932642487046,0.15973377703826955,193,601,96,3314,97,505
Label_20,0.8541874376869392,0.2490372272143774,0.5449438202247191,0.16139767054908485,178,601,97,3330,81,504
Label_21,0.8531904287138584,0.2591194968553459,0.5309278350515464,0.1713810316139767,194,601,103,3320,91,498
Label_22,0.8482053838484547,0.12374100719424462,0.4574468085106383,0.07154742096505824,94,601,43,3360,51,558
Label_23,0.8467098703888335,0.21855146124523506,0.46236559139784944,0.14309484193011648,186,601,86,3311,100,515
Label_24,0.8489531405782652,0.2329113924050633,0.48677248677248675,0.15307820299500832,189,601,92,3314,97,509
Label_25,0.8489531405782652,0.22506393861892582,0.4861878453038674,0.1464226289517471,181,601,88,3318,93,513
