Prompt_Column,Accuracy,F1,Precision,Recall,Support
prompt_1,0.8491193087404453,0.17196202743764769,0.48441247002398086,0.1048252911813644,601
prompt_2,0.8536058491193087,0.19796845822330092,0.5512720368283136,0.1209095951192457,601
prompt_3,0.8541043536058491,0.23983036040546293,0.546598995,0.1536328341652801,601
prompt_4,0.8490362246593554,0.219617409,0.48770117365942794,0.14198557958957295,601
prompt_5,0.8521934197407776,0.17214740968826062,0.534772267,0.10260676650027732,601
prompt_6,0.8498670654702559,0.14875494306821732,0.49345296834703006,0.087631725,601
prompt_7,0.8468760385510136,0.18764513056665189,0.45688426279432187,0.11813643926788686,601
prompt_8,0.8535227650382188,0.23358139101745423,0.5405004578938589,0.14919578480310594,601
prompt_9,0.8507809903622466,0.19880644233534653,0.5089762026206149,0.12368275097060455,601
prompt_10,0.8575938850116317,0.26427698864464383,0.5841117616577532,0.17082640044370492,601
prompt_11,0.8502824858757062,0.1939471757593203,0.5016760651629073,0.12035496394897394,601
prompt_12,0.8489531405782653,0.17586939413476518,0.4815403894351263,0.10759844703272324,601
prompt_13,0.8570122964440013,0.22249570412899575,0.5989639029772477,0.13699389905712703,601
prompt_14,0.8506979062811565,0.20379568594248934,0.5076218628644293,0.12756516916250693,601
prompt_15,0.8475407111997342,0.16999448097124412,0.4615302936198458,0.10427066001109263,601
prompt_16,0.8484546360917248,0.19200515782709393,0.4757016811160076,0.12035496394897394,601
prompt_17,0.8555167829843802,0.21980033798097154,0.5749181353379255,0.13588463671658346,601
prompt_18,0.8479561316051845,0.18952702319842282,0.4702583542377525,0.11869107043815863,601
prompt_19,0.8501163177135261,0.23682004844840035,0.4988901197351521,0.1552967276760954,601
prompt_20,0.8510302426055167,0.23803619860406477,0.5100025487722366,0.1552967276760954,601
prompt_21,0.8535227650382186,0.25577144629737214,0.5353333770588247,0.16805324459234608,601
prompt_22,0.8481222997673646,0.11599952737194404,0.4539711032504443,0.06655574,601
prompt_23,0.8466267863077435,0.2136746243598878,0.4597861893218969,0.13921242373821408,601
prompt_24,0.8496178132269857,0.22238105593207994,0.4932993099069168,0.14364947310038823,601
prompt_25,0.848703888,0.21911611459482794,0.48253115059573143,0.14198557958957292,601
