,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative
Label_1,0.8521934197407777,0.19538670284938942,0.5294117647058824,0.11980033277870217,136,601,72,3347,64,529
Label_2,0.8492023928215354,0.1723666210670315,0.4846153846153846,0.1048252911813644,130,601,63,3344,67,538
Label_3,0.8501994017946162,0.15471167369901548,0.5,0.09151414309484193,110,601,55,3356,55,546
Label_4,0.8467098703888335,0.18758256274768825,0.4551282051282051,0.11813643926788686,156,601,71,3326,85,530
Label_5,0.8454636091724825,0.12429378531073447,0.411214953271028,0.07321131447587355,107,601,44,3348,63,557
Label_6,0.8472083748753739,0.14504881450488147,0.4482758620689655,0.08652246256239601,116,601,52,3347,64,549
Label_7,0.8414755732801595,0.19899244332493704,0.40932642487046633,0.1314475873544093,193,601,79,3297,114,522
Label_8,0.8489531405782652,0.20472440944881892,0.484472049689441,0.129783693843594,161,601,78,3328,83,523
Label_9,0.8472083748753739,0.15912208504801095,0.453125,0.09650582362728785,128,601,58,3341,70,543
Label_10,0.8506979062811565,0.18944519621109607,0.5072463768115942,0.11647254575707154,138,601,70,3343,68,531
Label_11,0.8482053838484547,0.17142857142857143,0.4701492537313433,0.1048252911813644,134,601,63,3340,71,538
Label_12,0.8452143569292123,0.1551020408163265,0.4253731343283582,0.09484193011647254,134,601,57,3334,77,544
Label_13,0.8514456630109671,0.150997150997151,0.5247524752475248,0.08818635607321132,101,601,53,3363,48,548
Label_14,0.8472083748753739,0.1986928104575163,0.4634146341463415,0.1264559068219634,164,601,76,3323,88,525
Label_15,0.8464606181455633,0.20413436692506456,0.45664739884393063,0.1314475873544093,173,601,79,3317,94,522
Label_16,0.845962113659023,0.176,0.4429530201342282,0.10981697171381032,149,601,66,3328,83,535
Label_17,0.8506979062811565,0.18944519621109607,0.5072463768115942,0.11647254575707154,138,601,70,3343,68,531
Label_18,0.8484546360917248,0.21850899742930596,0.480225988700565,0.14143094841930118,177,601,85,3319,92,516
Label_19,0.8506979062811565,0.244640605296343,0.5052083333333334,0.16139767054908485,192,601,97,3316,95,504
Label_20,0.8492023928215354,0.2233632862644416,0.4887640449438202,0.1447587354409318,178,601,87,3320,91,514
Label_21,0.8469591226321037,0.2566585956416465,0.4711111111111111,0.17637271214642264,225,601,106,3292,119,495
Label_22,0.8457128614157527,0.15089163237311384,0.4296875,0.09151414309484193,128,601,55,3338,73,546
Label_23,0.848703888334995,0.22477650063856963,0.4835164835164835,0.1464226289517471,182,601,88,3317,94,513
Label_24,0.8484546360917248,0.2380952380952381,0.48223350253807107,0.15806988352745424,197,601,95,3309,102,506
Label_25,0.8424725822532403,0.22738386308068456,0.42857142857142855,0.15474209650582363,217,601,93,3287,124,508
