Label_Column,Accuracy,F1,Precision,Recall,Support
label_1,0.8597701149425288,0.11594202898550723,0.6153846153846154,0.064,125.0
label_2,0.8689655172413793,0.3214285714285714,0.627906976744186,0.216,125.0
label_3,0.8471264367816091,0.2887700534759358,0.43548387096774194,0.216,125.0
label_4,0.8689655172413793,0.2692307692307693,0.6774193548387096,0.168,125.0
label_5,0.8540229885057471,0.059259259259259255,0.4,0.032,125.0
label_6,0.864367816091954,0.2531645569620253,0.6060606060606061,0.16,125.0
label_7,0.8747126436781609,0.32298136645962733,0.7222222222222222,0.208,125.0
label_8,0.8689655172413793,0.3294117647058824,0.6222222222222222,0.224,125.0
label_9,0.8540229885057471,0.2983425414364641,0.48214285714285715,0.216,125.0
label_10,0.871264367816092,0.308641975308642,0.6756756756756757,0.2,125.0
label_11,0.8655172413793103,0.17021276595744683,0.75,0.096,125.0
label_12,0.8632183908045977,0.23225806451612901,0.6,0.144,125.0
label_13,0.864367816091954,0.16901408450704228,0.7058823529411765,0.096,125.0
label_14,0.8735632183908046,0.3125,0.7142857142857143,0.2,125.0
label_15,0.8701149425287357,0.3687150837988827,0.6111111111111112,0.264,125.0
label_16,0.8632183908045977,0.26993865030674846,0.5789473684210527,0.176,125.0
label_17,0.8597701149425288,0.37113402061855666,0.5217391304347826,0.288,125.0
label_18,0.8689655172413793,0.2692307692307693,0.6774193548387096,0.168,125.0
label_19,0.8758620689655172,0.3793103448275862,0.673469387755102,0.264,125.0
label_20,0.8758620689655172,0.34146341463414637,0.717948717948718,0.224,125.0
label_21,0.8758620689655172,0.3076923076923077,0.7741935483870968,0.192,125.0
label_22,0.8701149425287357,0.3233532934131737,0.6428571428571429,0.216,125.0
label_23,0.8724137931034482,0.31901840490797545,0.6842105263157895,0.208,125.0
label_24,0.871264367816092,0.33333333333333337,0.6511627906976745,0.224,125.0
label_25,0.8620689655172413,0.3684210526315789,0.5384615384615384,0.28,125.0
