Label_Column,Accuracy,F1,Precision,Recall,Support
label_19,0.8724137931034482,0.4126984126984127,0.609375,0.312,125.0
label_12,0.860919540229885,0.3163841807909605,0.5384615384615384,0.224,125.0
label_18,0.8471264367816091,0.35748792270531404,0.45121951219512196,0.296,125.0
label_24,0.8781609195402299,0.4175824175824176,0.6666666666666666,0.304,125.0
label_3,0.8563218390804598,0.358974358974359,0.5,0.28,125.0
label_14,0.8758620689655172,0.3863636363636364,0.6666666666666666,0.272,125.0
label_10,0.867816091954023,0.30303030303030304,0.625,0.2,125.0
label_11,0.867816091954023,0.41025641025641024,0.5714285714285714,0.32,125.0
label_15,0.867816091954023,0.41025641025641024,0.5714285714285714,0.32,125.0
label_8,0.860919540229885,0.43192488262910794,0.5227272727272727,0.368,125.0
label_1,0.8505747126436781,0.35000000000000003,0.4666666666666667,0.28,125.0
label_7,0.8666666666666667,0.3829787234042553,0.5714285714285714,0.288,125.0
label_5,0.8597701149425288,0.36458333333333337,0.5223880597014925,0.28,125.0
label_21,0.8540229885057471,0.3681592039800995,0.4868421052631579,0.296,125.0
label_9,0.8655172413793103,0.3743315508021391,0.5645161290322581,0.28,125.0
label_6,0.867816091954023,0.3274853801169591,0.6086956521739131,0.224,125.0
label_13,0.8448275862068966,0.3147208121827411,0.4305555555555556,0.248,125.0
label_25,0.8689655172413793,0.4411764705882353,0.569620253164557,0.36,125.0
label_17,0.8563218390804598,0.358974358974359,0.5,0.28,125.0
label_16,0.8724137931034482,0.3657142857142857,0.64,0.256,125.0
label_23,0.8666666666666667,0.42574257425742573,0.5584415584415584,0.344,125.0
label_4,0.8597701149425288,0.37755102040816324,0.5211267605633803,0.296,125.0
label_22,0.8528735632183908,0.3402061855670103,0.4782608695652174,0.264,125.0
label_20,0.8574712643678161,0.3404255319148936,0.5079365079365079,0.256,125.0
label_2,0.8724137931034482,0.3728813559322034,0.6346153846153846,0.264,125.0
