,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative
Label_1,0.8540229885057471,0.2485207100591716,0.4772727272727273,0.168,44,125,21,722,23,104
Label_2,0.864367816,0.30588235294117644,0.5777777777777777,0.208,45,125,26,726,19,99
Label_3,0.8689655172413793,0.3214285714285714,0.627906977,0.216,43,125,27,729,16,98
Label_4,0.871264368,0.3563218390804598,0.6326530612244898,0.248,49,125,31,727,18,94
Label_5,0.8551724137931035,0.34375,0.4925373134328358,0.264,67,125,33,711,34,92
Label_6,0.8620689655172413,0.3023255813953489,0.5531914893617021,0.208,47,125,26,724,21,99
Label_7,0.8793103448275862,0.4,0.7,0.28,50,125,35,730,15,90
Label_8,0.8597701149425288,0.37755102040816324,0.5211267605633803,0.296,71,125,37,711,34,88
Label_9,0.8655172413793103,0.2732919254658385,0.6111111111111112,0.176,36,125,22,731,14,103
Label_10,0.8666666666666667,0.3012048192771084,0.6097560975609756,0.2,41,125,25,729,16,100
Label_11,0.8770114942528736,0.4022346368715084,0.6666666666666666,0.288,54,125,36,727,18,89
Label_12,0.8586206896551725,0.35602094240837695,0.5151515151515151,0.272,66,125,34,713,32,91
Label_13,0.8425287356321839,0.3568075117370892,0.4318181818181818,0.304,88,125,38,695,50,87
Label_14,0.8459770114942529,0.3020833333333333,0.43283582089552236,0.232,67,125,29,707,38,96
Label_15,0.8816091954022989,0.4180790960451978,0.7115384615384616,0.296,52,125,37,730,15,88
Label_16,0.8701149425287357,0.3151515151515151,0.65,0.208,40,125,26,731,14,99
Label_17,0.8701149425287357,0.3687150837988827,0.6111111111111112,0.264,54,125,33,724,21,92
Label_18,0.8586206896551725,0.3492063492063492,0.515625,0.264,64,125,33,714,31,92
Label_19,0.86091954,0.3085714285714286,0.54,0.216,50,125,27,722,23,98
Label_20,0.8724137931034482,0.418848168,0.6060606060606061,0.32,66,125,40,719,26,85
Label_21,0.8620689655172413,0.34782608695652173,0.5423728813559322,0.256,59,125,32,718,27,93
Label_22,0.8689655172413793,0.3666666666666667,0.6,0.264,55,125,33,723,22,92
Label_23,0.8701149425287357,0.4145077720207254,0.5882352941176471,0.32,68,125,40,717,28,85
Label_24,0.867816092,0.36464088397790057,0.5892857142857143,0.264,56,125,33,722,23,92
Label_25,0.8781609195402299,0.4361702127659575,0.6507936507936508,0.328,63,125,41,723,22,84
