Label_Column,Accuracy,F1,Precision,Recall,Support
label_19,0.8724137931034482,0.39999999999999997,0.6166666666666667,0.296,125.0
label_12,0.8655172413793103,0.41791044776119407,0.5526315789473685,0.336,125.0
label_18,0.867816091954023,0.43902439024390244,0.5625,0.36,125.0
label_24,0.871264367816092,0.422680412371134,0.5942028985507246,0.328,125.0
label_3,0.8666666666666667,0.3255813953488372,0.5957446808510638,0.224,125.0
label_14,0.867816091954023,0.36464088397790057,0.5892857142857143,0.264,125.0
label_10,0.8701149425287357,0.3067484662576688,0.6578947368421053,0.2,125.0
label_11,0.8804597701149425,0.4408602150537635,0.6721311475409836,0.328,125.0
label_15,0.867816091954023,0.3915343915343915,0.578125,0.296,125.0
label_8,0.8793103448275862,0.48780487804878053,0.625,0.4,125.0
label_1,0.8551724137931035,0.2674418604651163,0.48936170212765956,0.184,125.0
label_7,0.8747126436781609,0.3473053892215569,0.6904761904761905,0.232,125.0
label_5,0.8666666666666667,0.38947368421052625,0.5692307692307692,0.296,125.0
label_21,0.8655172413793103,0.3937823834196891,0.5588235294117647,0.304,125.0
label_9,0.8701149425287357,0.3233532934131737,0.6428571428571429,0.216,125.0
label_6,0.8724137931034482,0.39999999999999997,0.6166666666666667,0.296,125.0
label_13,0.871264367816092,0.4343434343434343,0.589041095890411,0.344,125.0
label_25,0.8873563218390804,0.5148514851485149,0.6753246753246753,0.416,125.0
label_17,0.8793103448275862,0.4134078212290503,0.6851851851851852,0.296,125.0
label_16,0.860919540229885,0.34594594594594597,0.5333333333333333,0.256,125.0
label_23,0.8574712643678161,0.44642857142857145,0.5050505050505051,0.4,125.0
label_4,0.8724137931034482,0.418848167539267,0.6060606060606061,0.32,125.0
label_22,0.871264367816092,0.40425531914893614,0.6031746031746031,0.304,125.0
label_20,0.8724137931034482,0.4126984126984127,0.609375,0.312,125.0
label_2,0.8666666666666667,0.348314606741573,0.5849056603773585,0.248,125.0
