,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative
Label_1,0.8632183908045977,0.32000000000000006,0.56,0.224,50,125,28,723,22,97
Label_2,0.867816092,0.34285714285714286,0.6,0.24,50,125,30,725,20,95
Label_3,0.8655172413793103,0.3389830508474576,0.5769230769230769,0.24,52,125,30,723,22,95
Label_4,0.8701149425287357,0.3615819209039548,0.6153846153846154,0.256,52,125,32,725,20,93
Label_5,0.864367816,0.3789473684210526,0.5538461538461539,0.288,65,125,36,716,29,89
Label_6,0.8563218390804598,0.3315508021390374,0.5,0.248,62,125,31,714,31,94
Label_7,0.864367816,0.3516483516483516,0.5614035087719298,0.256,57,125,32,720,25,93
Label_8,0.8482758620689655,0.32653061224489793,0.4507042253521127,0.256,71,125,32,706,39,93
Label_9,0.8632183908045977,0.3425414364640884,0.5535714285714286,0.248,56,125,31,720,25,94
Label_10,0.8540229885057471,0.3553299492385787,0.4861111111111111,0.28,72,125,35,708,37,90
Label_11,0.8758620689655172,0.40659340659340654,0.6491228070175439,0.296,57,125,37,725,20,88
Label_12,0.864367816,0.34444444444444444,0.5636363636363636,0.248,55,125,31,721,24,94
Label_13,0.8540229885057471,0.3923444976076555,0.4880952380952381,0.328,84,125,41,702,43,84
Label_14,0.8689655172413793,0.3372093023255814,0.6170212765957447,0.232,47,125,29,727,18,96
Label_15,0.8574712643678161,0.33333333333333337,0.5081967213114754,0.248,61,125,31,715,30,94
Label_16,0.864367816,0.358695652,0.559322034,0.264,59,125,33,719,26,92
Label_17,0.8574712643678161,0.3473684210526316,0.5076923076923077,0.264,65,125,33,713,32,92
Label_18,0.8620689655172413,0.4117647058823529,0.5316455696202531,0.336,79,125,42,708,37,83
Label_19,0.8689655172413793,0.37362637362637363,0.5964912280701754,0.272,57,125,34,722,23,91
Label_20,0.8655172413793103,0.3809523809523809,0.5625,0.288,64,125,36,717,28,89
Label_21,0.7965517241379311,0.3420074349442379,0.3194444444444444,0.368,144,125,46,647,98,79
Label_22,0.867816092,0.34285714285714286,0.6,0.24,50,125,30,725,20,95
Label_23,0.864367816,0.42156862745098034,0.5443037974683544,0.344,79,125,43,709,36,82
Label_24,0.871264368,0.41052631578947374,0.6,0.312,65,125,39,719,26,86
Label_25,0.867816092,0.4221105527638191,0.5675675675675675,0.336,74,125,42,713,32,83
