,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative
Label_1,0.8620689655172413,0.3023255813953489,0.5531914893617021,0.208,47,125,26,724,21,99
Label_2,0.8724137931034482,0.3728813559322034,0.6346153846153846,0.264,52,125,33,726,19,92
Label_3,0.871264368,0.36363636363636365,0.6274509803921569,0.256,51,125,32,726,19,93
Label_4,0.8770114942528736,0.3815028901734104,0.6875,0.264,48,125,33,730,15,92
Label_5,0.86091954,0.37948717948717947,0.5285714285714286,0.296,70,125,37,712,33,88
Label_6,0.8551724137931035,0.31521739130434784,0.4915254237288136,0.232,59,125,29,715,30,96
Label_7,0.864367816,0.32954545454545453,0.5686274509803921,0.232,51,125,29,723,22,96
Label_8,0.8517241379310345,0.3645320197044335,0.47435897435897434,0.296,78,125,37,704,41,88
Label_9,0.871264368,0.3846153846153847,0.6140350877192983,0.28,57,125,35,723,22,90
Label_10,0.871264368,0.43999999999999995,0.5866666666666667,0.352,75,125,44,714,31,81
Label_11,0.8735632183908046,0.3956043956043956,0.631578947,0.288,57,125,36,724,21,89
Label_12,0.8632183908045977,0.31213872832369943,0.5625,0.216,48,125,27,724,21,98
Label_13,0.8482758620689655,0.4,0.4631578947368421,0.352,95,125,44,694,51,81
Label_14,0.86091954,0.34594594594594597,0.5333333333333333,0.256,60,125,32,717,28,93
Label_15,0.86091954,0.37948717948717947,0.5285714285714286,0.296,70,125,37,712,33,88
Label_16,0.8632183908045977,0.3276836158192091,0.5576923076923077,0.232,52,125,29,722,23,96
Label_17,0.8689655172413793,0.4,0.5846153846153846,0.304,65,125,38,718,27,87
Label_18,0.8574712643678161,0.392156863,0.5063291139240507,0.32,79,125,40,706,39,85
Label_19,0.8689655172413793,0.3372093023255814,0.6170212765957447,0.232,47,125,29,727,18,96
Label_20,0.8632183908045977,0.39593908629441626,0.5416666666666666,0.312,72,125,39,712,33,86
Label_21,0.7448275862068966,0.2974683544303798,0.24607329842931938,0.376,191,125,47,601,144,78
Label_22,0.864367816,0.33707865168539325,0.5660377358490566,0.24,53,125,30,722,23,95
Label_23,0.8620689655172413,0.4174757281553398,0.5308641975308642,0.344,81,125,43,707,38,82
Label_24,0.8597701149425288,0.35106382978723405,0.5238095238095238,0.264,63,125,33,715,30,92
Label_25,0.8758620689655172,0.45454545454545453,0.6164383561643836,0.36,73,125,45,717,28,80
