Label_Column,Accuracy,F1,Precision,Recall,Support
label_1,0.8624521072796935,0.313502467,0.554070366,0.218666667,125
label_2,0.8708812260536397,0.367492943,0.619871795,0.261333333,125
label_3,0.8666666666666667,0.350782063,0.585366065,0.250666667,125
label_4,0.871264368,0.375354511,0.624771062,0.269333333,125
label_5,0.8628352490421456,0.378465966,0.542624043,0.290666667,125
label_6,0.857088123,0.334887643,0.504867449,0.250666667,125
label_7,0.867816092,0.352778888,0.596676987,0.250666667,125
label_8,0.8486590038314176,0.340354211,0.455021067,0.272,125
label_9,0.8651340996168582,0.347847001,0.568689352,0.250666667,125
label_10,0.8586206896551724,0.370373141,0.511438746,0.290666667,125
label_11,0.8766283524904214,0.412326804,0.652889285,0.301333333,125
label_12,0.8651340996168583,0.338041691,0.572909652,0.24,125
label_13,0.8494252873563218,0.396246965,0.468287127,0.344,125
label_14,0.8689655172413794,0.347478895,0.621546775,0.242666667,125
label_15,0.8593869731800767,0.354628114,0.520192558,0.269333333,125
label_16,0.8674329501915709,0.359146907,0.588387497,0.258666667,125
label_17,0.8639846743295019,0.376106934,0.551602564,0.285333333,125
label_18,0.8547892720306512,0.379632313,0.491290706,0.309333333,125
label_19,0.8689655172413793,0.36148735,0.603334578,0.258666667,125
label_20,0.864367816,0.387436045,0.552135158,0.298666667,125
label_21,0.7965517241379311,0.328670148,0.340021066,0.341333333,125
label_22,0.8666666666666667,0.348192226,0.585107817,0.248,125
label_23,0.8609195402298851,0.415542431,0.525055998,0.344,125
label_24,0.864367816,0.369805411,0.555394135,0.277333333,125
label_25,0.8727969348659004,0.437296389,0.600550994,0.344,125
